Name,Capital,Continent,Population,GDP
Afghanistan,Kabul,Asia,0,0
Albania,Tirana,Europe,0,0
Algeria,Algiers,Africa,0,0
Andorra,Andorra la Vella,Europe,0,0
Angola,Luanda,Africa,0,0
Antigua and Barbuda,Saint John's,North America,0,0
Argentina,Buenos Aires,South America,0,0
Armenia,Yerevan,Europe,0,0
Australia,Canberra,Oceana,0,0
Austria,Vienna,Europe,0,0
Azerbaijan,Baku,Europe,0,0
Bahamas,Nassau,North America,0,0
Bahrain,Manama,Asia,0,0
Bangladesh,Dhaka,Asia,0,0
Barbados,Bridgetown,North America,0,0
Belarus,Minsk,Europe,0,0
Belgium,Brussels,Europe,0,0
Belize,Belmopan,North America,0,0
Benin,Porto Novo,Africa,0,0
Bhutan,Thimphu,Asia,0,0
Bolivia,La Paz,South America,0,0
Bosnia and Herzegovina,Sarajevo,Europe,0,0
Botswana,Gaborone,Africa,0,0
Brazil,Brasilia,South America,0,0
Brunei Darussalam,Bandar Seri Begawan,Asia,0,0
Bulgaria,Sofia,Europe,0,0
Burkina Faso,Ouagadougou,Africa,0,0
Burundi,Gitega,Africa,0,0
Cabo Verde,Phnom Penh,Africa,0,0
Cambodia,Yaounde,Asia,0,0
Cameroon,Ottawa,Africa,0,0
Canada,Praia,North America,0,0
Central African Republic,Bangui,Africa,0,0
Chad,N'Djamena,Africa,0,0
Chile,Santiago,South America,0,0
China,Beijing,Asia,0,0
Colombia,Bogota,South America,0,0
Comoros,Moroni,Africa,0,0
Congo,Kinshasa,Africa,0,0
Cook Islands,Brazzaville,Oceana,0,0
Costa Rica,San Jose,North America,0,0
Cote dIvoire,Yamoussoukro,Africa,0,0
Croatia,Zagreb,Europe,0,0
Cuba,Havana,North America,0,0
Cyprus,Nicosia,Europe,0,0
Czechia,Prague,Europe,0,0
Democratic Republic of Congo,Copenhagen,Africa,0,0
Denmark,Djibouti,Europe,0,0
Djibouti,Roseau,Africa,0,0
Dominica,Santo Domingo,North America,0,0
Dominican Republic,Dili,North America,0,0
Ecuador,Quito,South America,0,0
Egypt,Cairo,Africa,0,0
El Salvador,San Salvador,North America,0,0
Equatorial Guinea,London,Africa,0,0
Eritrea,Malabo,Africa,0,0
Estonia,Asmara,Europe,0,0
Eswatini,Tallinn,Africa,0,0
Ethiopia,Mbabana,Africa,0,0
Fiji,Addis Ababa,Oceana,0,0
Finland,Palikir,Europe,0,0
France,Suva,Europe,0,0
Gabon,Helsinki,Africa,0,0
Gambia,Paris,Africa,0,0
Georgia,Cayenne,Europe,0,0
Germany,Libreville,Europe,0,0
Ghana,Banjul,Africa,0,0
Greece,Tbilisi,Europe,0,0
Grenada,Berlin,North America,0,0
Guatemala,Accra,North America,0,0
Guinea-Bissau,Athens,Africa,0,0
Guinea,Saint George's,Africa,0,0
Guyana,Guatemala City,South America,0,0
Haiti,Conakry,North America,0,0
Holy See,Bissau,Europe,0,0
Honduras,Georgetown,North America,0,0
Hungary,Port au Prince,Europe,0,0
Iceland,Tegucigalpa,Europe,0,0
India,Budapest,Asia,0,0
Indonesia,Reykjavik,Asia,0,0
Iran,New Delhi,Asia,0,0
Iraq,Jakarta,Asia,0,0
Ireland,Tehran,Europe,0,0
Israel,Baghdad,Asia,0,0
Italy,Dublin,Europe,0,0
Jamaica,Tel Aviv,North America,0,0
Japan,Rome,Asia,0,0
Jordan,Kingston,Asia,0,0
Kazakhstan,Tokyo,Asia,0,0
Kenya,Amman,Africa,0,0
Kiribati,Astana,Oceana,0,0
Kosovo,Nairobi,Europe,0,0
Kuwait,Tarawa Atoll,Asia,0,0
Kyrgyzstan,Pristina,Asia,0,0
Lao Peoples Democratic Republic,Kuwait City,Asia,0,0
Latvia,Bishkek,Europe,0,0
Lebanon,Vientiane,Asia,0,0
Lesotho,Riga,Africa,0,0
Liberia,Beirut,Africa,0,0
Libya,Maseru,Africa,0,0
Liechtenstein,Monrovia,Europe,0,0
Lithuania,Tripoli,Europe,0,0
Luxembourg,Vaduz,Europe,0,0
Madagascar,Vilnius,Africa,0,0
Malawi,Luxembourg,Africa,0,0
Malaysia,Antananarivo,Asia,0,0
Maldives,Lilongwe,Asia,0,0
Mali,Kuala Lumpur,Africa,0,0
Malta,Male,Europe,0,0
Manaco,Bamako,Europe,0,0
Marshall Islands,Valletta,Oceana,0,0
Mauritania,Majuro,Africa,0,0
Mauritius,Nouakchott,Africa,0,0
Mayanmar,Port Louis,Asia,0,0
Mexico,Mexico City,North America,0,0
Micronesia,Chisinau,Oceana,0,0
Moldova,Monaco,Europe,0,0
Mongolia,Ulaanbaatar,Asia,0,0
Montenegro,Podgorica,Europe,0,0
Morocco,Rabat,Africa,0,0
Mozambique,Maputo,Africa,0,0
Nambia,Nay Pyi Taw,Africa,0,0
Nauru,Windhoek,Oceana,0,0
Nepal,No official capital,Asia,0,0
Netherlands,Kathmandu,Europe,0,0
New Zealand,Amsterdam,Oceana,0,0
Nicaragua,Wellington,North America,0,0
Niger,Managua,Africa,0,0
Nigeria,Niamey,Africa,0,0
Niue,Abuja,Oceana,0,0
North Korea,Pyongyang,Asia,0,0
North Macedonia,Skopje,Europe,0,0
Norway,Belfast,Europe,0,0
Oman,Oslo,Asia,0,0
Pakistan,Muscat,Asia,0,0
Palau,Islamabad,Oceana,0,0
Palestine,Melekeok,Asia,0,0
