Afghanistan,Kabul,Asia,32225560,18734
Austria,Vienna,Europe,8898457,447718
Bolivia,Sucre,South America,11469896,42401
Brazil,Brasilia,South America,210773000,1847020
Bulgaria,Sofia,Europe,7000039,66250
Canada,Ottawa,North America,37830500,1730914
Chile,Santiago,South America,19207216,294237
Congo,Brazzaville,Africa,5380508,11576
Ecuador,Quito,South America,17370900,107914
Finland,Helsinki,Europe,5525487,269654
India,New Delhi,Asia,1355340000,2935570
Macedonia,Skopje,Europe,2084367,11340
Malaysia,Kuala Lumpur,Asia,32674200,365303
Mongolia,Ulaanbaatar,Asia,3289775,13637
New Zeland,Wellington,Island,4944630,204671
Pakistan,Islamabad,Asia,217747000,284214
Senegal,Dakar,Africa,16209125,23940
Singapore,Singapore,Asia,5703600,362818
Slovenia,Ljubljana,Europe,2089310,54154
Sri Lanka,Sri Jayawardenepura Kotte,Island,21803000,86566
Switzerland,Bern,Europe,8570146,715360
Togo,Lome,Africa,7538000,5502
Uruguay,Montevideo,South America,3518552,59918
USA,Washington D.C,North America,330314000,21439453
Uzbekistan,Tashkent,Asia,33855555,60490
Venezuela,Caracas,South America,32219521,70140
Zambia,Lusaka,Africa,17381168,23946
